date	value
1980.5417	0.28
1980.625	0.24
1980.7083	0.21
1980.7917	0.19
1980.875	0.29
1980.9583	0.21
1981.0417	0.56
1981.125	0.41
1981.2083	0.48
1981.2917	0.31
1981.375	0.24
1981.4583	0.3
1981.5417	0.34
1981.625	0.35
1981.7083	0.17
1981.7917	0.13
1981.875	0.21
1981.9583	0.4
1982.0417	0.09
1982.125	0.14
1982.2083	-0.02
1982.2917	0.09
1982.375	0.15
1982.4583	0.04
1982.5417	0.13
1982.625	0.08
1982.7083	0.15
1982.7917	0.13
1982.875	0.14
1982.9583	0.42
1983.0417	0.51
1983.125	0.4
1983.2083	0.42
1983.2917	0.3
1983.375	0.35
1983.4583	0.17
1983.5417	0.15
1983.625	0.3
1983.7083	0.38
1983.7917	0.14
1983.875	0.3
1983.9583	0.16
1984.0417	0.3
1984.125	0.17
1984.2083	0.28
1984.2917	0.08
1984.375	0.33
1984.4583	0.04
1984.5417	0.16
1984.625	0.15
1984.7083	0.19
1984.7917	0.14
1984.875	0.04
1984.9583	-0.06
1985.0417	0.21
1985.125	-0.06
1985.2083	0.17
1985.2917	0.11
1985.375	0.17
1985.4583	0.17
1985.5417	-0.01
1985.625	0.14
1985.7083	0.14
1985.7917	0.11
1985.875	0.09
1985.9583	0.15
1986.0417	0.29
1986.125	0.38
1986.2083	0.29
1986.2917	0.26
1986.375	0.26
1986.4583	0.12
1986.5417	0.12
1986.625	0.12
1986.7083	0.01
1986.7917	0.13
1986.875	0.1
1986.9583	0.16
1987.0417	0.35
1987.125	0.46
1987.2083	0.16
1987.2917	0.24
1987.375	0.25
1987.4583	0.35
1987.5417	0.45
1987.625	0.27
1987.7083	0.39
1987.7917	0.31
1987.875	0.24
1987.9583	0.47
1988.0417	0.56
1988.125	0.41
1988.2083	0.49
1988.2917	0.45
1988.375	0.44
1988.4583	0.42
1988.5417	0.34
1988.625	0.46
1988.7083	0.41
1988.7917	0.39
1988.875	0.12
1988.9583	0.33
1989.0417	0.15
1989.125	0.34
1989.2083	0.36
1989.2917	0.33
1989.375	0.16
1989.4583	0.14
1989.5417	0.33
1989.625	0.35
1989.7083	0.36
1989.7917	0.32
1989.875	0.2
1989.9583	0.37
1990.0417	0.4
1990.125	0.4
1990.2083	0.75
1990.2917	0.54
1990.375	0.46
1990.4583	0.37
1990.5417	0.43
1990.625	0.29
1990.7083	0.3
1990.7917	0.42
1990.875	0.46
1990.9583	0.41
1991.0417	0.41
1991.125	0.5
1991.2083	0.35
1991.2917	0.52
1991.375	0.38
1991.4583	0.54
1991.5417	0.51
1991.625	0.41
1991.7083	0.5
1991.7917	0.32
1991.875	0.31
1991.9583	0.33
1992.0417	0.45
1992.125	0.42
1992.2083	0.47
1992.2917	0.23
1992.375	0.32
1992.4583	0.24
1992.5417	0.12
1992.625	0.09
1992.7083	0.01
1992.7917	0.11
1992.875	0.04
1992.9583	0.22
